ID,Course_Type,PSS,Source,Stress_Level,Group,,,
1,STEM,24,My Study,Moderate,AP,,,
2,STEM,14,My Study,Moderate,AP,,,
3,Humanities,22.5,My Study,Moderate,AP,,,
4,STEM,24,My Study,Moderate,AP,,,
9,STEM,28.5,My Study,High,AP,,,
10,STEM,36,My Study,High,AP,,,
11,STEM,21.5,My Study,Moderate,AP,,,
12,Humanities,20,My Study,Moderate,AP,,,
13,Humanities,21,My Study,Moderate,AP,,,
14,Humanities,20.5,My Study,Moderate,AP,,,
15,Humanities,27,My Study,High,AP,,,
16,Humanities,21,My Study,Moderate,AP,,,
17,Humanities,18,My Study,Moderate,AP,,,
18,Humanities,19.5,My Study,Moderate,AP,,,
19,Humanities,20,My Study,Moderate,AP,,,
20,Humanities,19,My Study,Moderate,AP,,,
21,Humanities,24,My Study,Moderate,AP,,,
22,Humanities,24,My Study,Moderate,AP,,,
23,Humanities,20,My Study,Moderate,AP,,,
24,Humanities,11,My Study,Low,AP,,,
25,Humanities,20,My Study,Moderate,AP,,,
26,Humanities,22,My Study,Moderate,AP,,,
27,Humanities,17,My Study,Moderate,AP,,,
28,Humanities,17.5,My Study,Moderate,AP,,,
29,Humanities,21,My Study,Moderate,AP,,,
30,Humanities,13,My Study,Low,AP,,,
31,Humanities,5,My Study,Low,AP,,,
32,Humanities,20,My Study,Moderate,AP,,,
33,Humanities,18.5,My Study,Moderate,AP,,,
35,Humanities,27,My Study,High,AP,,,
36,Humanities,25,My Study,Moderate,AP,,,
37,Humanities,15,My Study,Moderate,AP,,,
38,Humanities,24.5,My Study,Moderate,AP,,,
39,Humanities,22.5,My Study,Moderate,AP,,,
40,Humanities,18,My Study,Moderate,AP,,,
41,Humanities,23,My Study,Moderate,AP,,,
42,Humanities,11.5,My Study,Low,AP,,,
43,Humanities,30,My Study,High,AP,,,
44,Humanities,26,My Study,Moderate,AP,,,
45,Humanities,22.5,My Study,Moderate,AP,,,
46,STEM,41,My Study,High,AP,,,
48,STEM,22.5,My Study,Moderate,AP,,,
49,STEM,13,My Study,Low,AP,,,
50,STEM,14.5,My Study,Moderate,AP,,,
51,STEM,22,My Study,Moderate,AP,,,
52,STEM,20,My Study,Moderate,AP,,,
55,Humanities,22,My Study,Moderate,AP,,,
56,Humanities,21,My Study,Moderate,AP,,,
57,Humanities,19.5,My Study,Moderate,AP,,,
58,Humanities,24,My Study,Moderate,AP,,,
60,Humanities,20,My Study,Moderate,AP,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,